Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,TT,BMag,l_SFRa,SFRa,l_Pa,Pa,l_Fa,Fa,l_SFRu,SFRu,l_Pu,Pu,l_Fu,Fu
NGC4707,12,48,22.9,+,51,9,53,10,-15.45,,-2.00,,-0.01,,0.08,,-1.71,,0.28,,-0.21
DDO148,12,48,43.1,-,5,15,14,8,-16.19,,0.00,,0.00,,0.00,,-2.16,,-0.85,,0.12
KK165,12,48,52.7,+,31,58,13,-1,-11.23,,0.00,,0.00,,0.00,<,-4.90,<,-2.21,,0.00
NGC4700,12,49,7.6,-,11,24,41,7,-17.13,,-1.74,,-0.46,,0.30,,-0.86,,0.42,,-0.58
KK166,12,49,13.3,+,35,36,45,-3,-10.82,,-4.81,,-1.95,,0.00,<,-5.02,<,-2.16,,0.00
MAPS1249+44,12,49,31.0,+,44,21,33,9,-12.44,,0.00,,0.00,,0.00,,-2.92,,-0.01,,0.14
UGC07983,12,49,47.0,+,3,50,32,10,-13.85,,0.00,,0.00,,0.00,,-2.35,,0.00,,0.50
UGC07990,12,50,27.2,+,28,21,10,8,-15.44,,-2.39,,-0.78,,0.92,,0.00,,0.00,,0.00
NGC4736,12,50,53.5,+,41,7,10,2,-19.86,,-0.38,,-0.86,,-1.17,,-0.48,,-0.96,,-1.07
BTS157,12,51,13.3,+,47,4,15,10,-12.38,,0.00,,0.00,,0.00,,-3.70,,-0.77,,0.79
KK167,12,51,44.4,+,26,6,38,10,-13.47,,0.00,,0.00,,0.00,,-2.25,,0.25,,0.06
IC3840,12,51,46.1,+,21,44,7,10,-11.97,,0.00,,0.00,,0.00,,-2.69,,0.41,,0.03
NGC4765,12,53,14.4,+,4,27,47,9,-16.76,,0.00,,0.00,,0.00,,-1.11,,0.06,,-0.33
KKSG38,12,53,31.6,-,5,55,40,10,-13.24,,0.00,,0.00,,0.00,,-2.26,,0.33,,-0.25
DDO153,12,53,57.5,-,12,6,31,9,-15.16,,-1.56,,0.26,,0.23,,-1.60,,0.22,,0.27
DDO154,12,54,5.2,+,27,8,55,10,-14.00,,-2.52,,0.02,,0.93,,-1.91,,0.63,,0.32
UGC08030,12,54,29.4,+,26,18,18,10,-14.36,,0.00,,0.00,,0.00,,-2.15,,-0.01,,0.17
ESO443-009,12,54,53.6,-,28,20,27,10,-12.08,,0.00,,0.00,,0.00,,-2.83,,0.22,,0.10
KDG215,12,55,40.5,+,19,12,33,10,-11.89,,0.00,,0.00,,0.00,,-3.21,,-0.08,,0.84
ESO219-010,12,56,9.6,-,50,8,38,-3,-12.70,,-3.11,,-1.01,,-1.04,,0.00,,0.00,,0.00
KDG216,12,56,25.0,+,15,5,9,-3,-12.07,,0.00,,0.00,,0.00,<,-4.80,<,-2.44,>,1.70
UGC08061,12,56,43.4,+,11,55,52,10,-13.22,,-3.02,,-0.42,,0.48,,-2.70,,-0.10,,0.16
NGC4826,12,56,44.2,+,21,41,5,2,-19.51,,-0.65,,-0.99,,-0.96,,-1.03,,-1.37,,-0.58
CVnII,12,57,10.0,+,34,19,15,-3,-4.10,,0.00,,0.00,,0.00,,-7.36,,-1.82,,1.59
GR8,12,58,40.4,+,14,13,3,10,-11.96,,-2.69,,0.63,,-0.29,,-2.64,,0.68,,-0.34
HIPASS J1258-04,12,58,49.6,-,4,53,19,10,-13.91,,0.00,,0.00,,0.00,,-2.24,,0.08,,0.04
NGC4861,12,59,2.0,+,34,51,37,9,-16.52,,-0.52,,0.76,,-0.76,,-0.85,,0.43,,-0.43
KK176,12,59,56.3,-,19,24,47,10,-12.85,,0.00,,0.00,,0.00,,-2.95,,-0.21,,0.84
UGCA319,13,2,14.4,-,17,14,15,10,-14.63,,-3.10,,-1.19,,1.20,,-2.08,,-0.17,,0.18
KK177,13,2,41.9,+,21,59,51,-2,-10.98,,0.00,,0.00,,0.00,<,-5.01,<,-2.22,,0.00
DDO161,13,3,16.8,-,17,25,23,8,-16.39,,-1.11,,0.12,,0.24,,-0.89,,0.34,,0.02
ESO269-037,13,3,33.6,-,46,35,3,10,-11.99,,-4.31,,-1.22,,0.04,,-3.62,,-0.53,,-0.65
KK180,13,4,29.9,+,17,45,32,-2,-11.02,,0.00,,0.00,,0.00,<,-5.06,<,-2.28,,0.00
KK182,13,5,2.9,-,40,4,58,10,-12.92,,-3.28,,-0.61,,1.03,,-2.58,,0.09,,0.33
NGC4945,13,5,26.1,-,49,28,16,6,-20.54,,0.05,,-0.56,,-1.13,,0.00,,0.00,,0.00
KDG218,13,5,44.0,-,7,45,20,-1,-11.89,,0.00,,0.00,,0.00,,-4.85,,-2.42,,1.59
IC4182,13,5,49.3,+,37,36,21,8,-16.40,,-1.53,,-0.16,,0.02,,-1.22,,0.15,,-0.29
DDO165,13,6,26.8,+,67,42,15,9,-15.09,,-2.63,,-0.67,,0.80,,-1.70,,0.26,,-0.13
MCG -03-34-002,13,7,56.6,-,16,41,21,9,-15.05,,0.00,,0.00,,0.00,,-1.86,,0.18,,-0.29
UGC08215,13,8,3.6,+,46,49,41,10,-12.30,,-3.47,,-0.51,,0.87,,-2.95,,0.01,,0.35
UGC08245,13,8,34.2,+,78,56,13,9,-11.89,,-3.77,,-0.67,,0.00,,-3.21,,-0.11,,0.00
MCG -04-31-038,13,9,36.6,-,27,8,26,10,-14.70,,0.00,,0.00,,0.00,,-1.90,,-0.55,,0.01
ESO269-058,13,10,32.9,-,46,59,27,9,-15.07,,-3.49,,-2.22,,1.00,,-2.37,,-1.10,,-0.12
[KK2000] 53,13,11,14.2,-,38,54,22,-3,-10.86,,0.00,,0.00,,0.00,<,-5.01,<,-2.17,>,1.47
NGC5023,13,12,11.9,+,44,2,19,7,-17.06,,-1.23,,-0.18,,0.01,,-0.88,,0.17,,-0.34
KK189,13,12,45.0,-,41,49,55,-3,-10.86,<,-5.27,<,-2.43,>,0.62,<,-4.79,<,-1.95,>,0.14
CGCG 217-018,13,12,51.8,+,40,32,35,9,-14.73,,-2.08,,-0.06,,0.00,,-2.01,,0.01,,0.00
KKH82,13,12,58.7,+,41,47,12,10,-13.19,,0.00,,0.00,,0.00,,-3.55,,-0.94,,0.00
ESO269-066,13,13,9.2,-,44,53,24,-1,-13.72,<,-5.37,<,-3.67,>,0.44,<,-4.95,<,-3.25,>,0.02
NGC5011C,13,13,11.9,-,43,15,56,-1,-14.07,,0.00,,0.00,,0.00,,-3.39,,-1.20,,0.65
DDO167,13,13,22.8,+,46,19,11,10,-12.70,,-2.88,,0.08,,0.20,,-2.50,,0.46,,-0.18
KK191,13,13,39.7,+,42,2,39,10,-10.75,,0.00,,0.00,,0.00,,-4.96,,-1.38,,1.30
DDO168,13,14,28.6,+,45,55,10,10,-15.28,,-2.11,,-0.12,,0.59,,-1.76,,0.23,,0.24
DDO169NW,13,15,20.1,+,47,32,37,10,-10.16,,0.00,,0.00,,0.00,,-3.02,,0.80,,0.12
DDO169,13,15,30.7,+,47,29,47,10,-13.80,,-2.70,,-0.30,,0.58,,-2.22,,0.18,,0.10
KK193,13,15,31.2,+,41,30,5,10,-11.12,,0.00,,0.00,,0.00,,-4.97,,-1.53,,0.00
NGC5055,13,15,49.3,+,42,1,45,4,-20.98,,0.20,,-0.66,,-0.45,,0.11,,-0.75,,-0.36
KK194,13,17,19.5,+,44,23,48,10,-12.47,,0.00,,0.00,,0.00,,-3.77,,-0.87,,0.00
NGC5068,13,18,55.3,-,21,2,21,6,-18.63,,-0.28,,0.08,,-0.72,,-0.50,,-0.14,,-0.50
AGC732602,13,21,4.8,+,24,8,36,10,-12.23,,0.00,,0.00,,0.00,,-2.81,,0.18,,-0.06
KK195,13,21,8.2,-,31,31,47,10,-11.76,<,-5.13,<,-1.95,>,2.82,,-3.15,,0.03,,0.84
[KK2000] 54,13,21,32.4,-,31,53,11,10,-10.47,<,-5.23,<,-1.53,>,1.14,<,-4.87,<,-1.17,>,0.78
KK196,13,21,47.1,-,45,3,48,10,-12.22,,0.00,,0.00,,0.00,,-3.35,,-0.35,,-0.23
NGC5102,13,21,57.8,-,36,37,47,1,-18.08,,-2.06,,-1.56,,0.59,,0.00,,0.00,,0.00
KK197,13,22,1.8,-,42,32,8,-3,-12.92,<,-5.30,<,-3.28,>,0.90,<,-4.73,<,-2.71,>,0.33
[KK2000] 55,13,22,12.4,-,42,43,51,-3,-10.11,<,-5.29,<,-2.15,>,1.74,<,-4.74,<,-1.60,>,1.19
KK198,13,22,56.1,-,33,34,22,-3,-10.96,<,-5.23,<,-2.43,>,1.18,,-4.26,,-1.46,,0.21
AM1320-230,13,23,29.9,-,23,23,35,-3,-11.13,<,-5.22,<,-2.49,>,1.13,,-4.32,,-1.59,,0.23
KK200,13,24,36.0,-,30,58,20,10,-11.96,,-4.28,,-1.43,,1.25,,-3.11,,-0.26,,0.08
NGC5128,13,25,28.9,-,43,1,0,-2,-20.78,,-0.04,,-0.81,,-1.37,,-0.64,,-1.41,,-0.77
IC4247,13,26,44.4,-,30,21,45,10,-14.34,,-2.82,,-0.90,,0.51,,-2.21,,-0.29,,-0.10
KK203,13,27,28.1,-,45,21,9,10,-10.52,,0.00,,0.00,,0.00,<,-4.97,<,-1.29,>,1.43
ESO324-024,13,27,37.4,-,41,28,50,8,-15.46,,-1.84,,-0.04,,0.13,,-1.81,,-0.01,,0.10
CVnI,13,28,3.5,+,33,33,21,-3,-7.87,,0.00,,0.00,,0.00,<,-7.67,<,-3.63,>,2.30
LV J1328+4937,13,28,31.2,+,49,37,38,10,-12.26,,0.00,,0.00,,0.00,,-2.59,,0.39,,0.00
PGC170257,13,29,21.0,-,21,10,45,9,-14.19,,0.00,,0.00,,0.00,,-2.26,,-0.04,,-0.45
NGC5204,13,29,36.4,+,58,25,4,8,-16.77,,-1.11,,0.18,,-0.16,,-0.97,,0.32,,-0.30
NGC5194,13,29,52.7,+,47,14,4,5,-21.37,,0.48,,-0.36,,-1.03,,0.37,,-0.47,,-0.92
NGC5195,13,29,58.7,+,47,16,5,0,-19.18,,-0.54,,-0.99,,-1.19,,-1.05,,-1.50,,-0.68
UGC08508,13,30,44.4,+,54,54,36,10,-13.09,,-2.65,,-0.06,,0.08,,0.00,,0.00,,0.00
UGCA361,13,32,36.2,+,49,49,49,-1,-12.85,,0.00,,0.00,,0.00,,-4.12,,-2.07,,0.00
NGC5206,13,33,43.9,-,48,9,4,-3,-16.60,<,-4.33,<,-3.21,>,1.07,,0.00,,0.00,,0.00
NGC5229,13,34,2.9,+,47,54,55,7,-15.59,,-1.59,,0.08,,0.19,,-1.45,,0.22,,0.05
NGC5238,13,34,42.7,+,51,36,50,10,-14.77,,-1.96,,0.16,,-0.49,,-1.99,,0.13,,-0.46
ESO270-017,13,34,47.3,-,45,32,51,8,-17.05,,-1.38,,-0.42,,0.11,,0.00,,0.00,,0.00
UGCA365,13,36,30.8,-,29,14,11,10,-13.34,,-4.45,,-2.02,,1.84,,-2.80,,-0.37,,0.19
KK208,13,36,35.5,-,29,34,15,-3,-14.24,<,-5.24,<,-3.75,>,2.00,,-5.22,,-3.73,,1.98
MCG +08-25-028,13,36,44.8,+,44,35,57,10,-13.61,,0.00,,0.00,,0.00,,-2.54,,-0.10,,0.00
NGC5236,13,37,0.1,-,29,52,4,5,-20.64,,0.45,,-0.27,,-0.32,,0.20,,-0.52,,-0.07
HIDEEP J1337-33,13,37,0.6,-,33,21,47,10,-11.11,<,-4.85,<,-1.41,>,1.65,,-3.56,,-0.12,,0.36
ESO444-084,13,37,20.2,-,28,2,46,10,-13.56,,-2.53,,0.00,,0.56,,-2.28,,0.25,,0.31
HIPASS J1337-39,13,37,25.1,-,39,53,52,10,-12.24,<,-4.74,<,-1.77,>,2.43,,-2.73,,0.24,,0.42
NGC5237,13,37,38.9,-,42,50,51,9,-14.87,,-2.24,,-0.55,,-0.13,,-2.36,,-0.67,,-0.01
UGC08638,13,39,19.4,+,24,46,33,10,-13.74,,-2.42,,-0.25,,-0.37,,-2.27,,-0.10,,-0.52
DDO181,13,39,53.8,+,40,44,21,10,-13.20,,-2.64,,-0.03,,0.10,,-2.50,,0.11,,-0.04
NGC5253,13,39,55.8,-,31,38,24,8,-17.13,,-0.60,,0.43,,-1.33,,-1.06,,-0.03,,-0.87
IC4316,13,40,18.1,-,28,53,40,10,-13.90,,-2.62,,-0.71,,-0.20,,-2.37,,-0.46,,-0.45
NGC5264,13,41,37.0,-,29,54,50,8,-15.90,,-1.97,,-0.66,,-0.25,,-1.88,,-0.57,,-0.34
KK211,13,42,5.6,-,45,12,18,-2,-11.93,<,-5.41,<,-3.00,>,1.30,<,-4.94,<,-2.53,>,0.83
DDO182,13,42,32.6,+,39,39,30,10,-14.10,,-2.11,,0.14,,0.28,,-1.72,,0.53,,-0.11
KK213,13,43,35.8,-,43,46,9,-3,-10.22,<,-5.41,<,-2.31,>,1.87,,0.00,,0.00,,0.00
ESO325-011,13,45,0.8,-,41,51,32,10,-14.02,,-1.88,,0.40,,-0.12,,0.00,,0.00,,0.00
[KK2000] 58,13,46,0.8,-,36,19,44,-3,-10.64,<,-5.45,<,-2.52,>,1.15,,0.00,,0.00,,0.00
KK218,13,46,39.5,-,29,58,45,-3,-10.97,<,-5.24,<,-2.44,>,0.67,<,-4.89,<,-2.09,>,0.32
ESO383-087,13,49,18.8,-,36,3,41,8,-17.00,,-1.42,,-0.40,,-0.57,,-1.38,,-0.36,,-0.61
DDO183,13,50,51.1,+,38,1,16,10,-13.16,,-3.15,,-0.53,,0.59,,-2.54,,0.08,,-0.02
KDG229,13,53,41.6,+,60,3,4,10,-13.07,,0.00,,0.00,,0.00,,-4.82,,-2.16,,0.00
KKH86,13,54,33.6,+,4,14,35,10,-10.30,,-6.05,,-2.42,,2.09,,-4.18,,-0.55,,0.22
HolmIV,13,54,45.1,+,53,54,17,8,-15.59,,-1.69,,-0.17,,0.17,,0.00,,0.00,,0.00
UGC08833,13,54,48.7,+,35,50,15,10,-12.20,,-3.39,,-0.62,,0.52,,-2.89,,-0.12,,0.02
KK227,13,56,10.1,+,40,18,12,-2,-12.54,,0.00,,0.00,,0.00,<,-4.39,<,-2.22,,0.00
ESO384-016,13,57,1.6,-,35,20,2,9,-13.49,<,-4.64,<,-2.34,>,1.47,,-3.35,,-1.05,,0.18
BootesIII,13,57,7.4,+,26,46,30,-3,-5.85,,0.00,,0.00,,0.00,<,-9.00,<,-4.16,,0.00
UGC08882,13,57,14.6,+,54,6,3,-1,-13.87,,-4.22,,-1.75,,0.00,,-3.99,,-1.52,,0.00
BootesII,13,58,0.0,+,12,50,0,-2,-1.86,,0.00,,0.00,,0.00,,-8.90,,-2.46,,0.65
BootesI,14,0,0.0,+,14,30,0,-2,-5.49,,0.00,,0.00,,0.00,<,-8.73,<,-3.74,>,0.87
NGC5398,14,1,22.2,-,33,3,52,7,-17.11,<,-1.42,<,-0.29,>,0.01,,-1.10,,0.03,,-0.31
MESSIER101,14,3,12.8,+,54,21,2,6,-21.12,,0.52,,-0.19,,-0.48,,0.57,,-0.14,,-0.53
NGC5408,14,3,21.5,-,41,22,35,9,-16.51,,-0.92,,0.73,,-0.56,,0.00,,0.00,,0.00
NGC5474,14,5,2.1,+,53,39,47,8,-17.86,,-0.86,,0.04,,0.03,,-0.67,,0.23,,-0.16
NGC5477,14,5,33.1,+,54,27,39,9,-15.29,,-1.51,,0.26,,0.35,,-1.40,,0.37,,0.24
KK230,14,7,10.7,+,35,3,37,10,-9.21,,-5.50,,-1.52,,1.95,,-3.81,,0.17,,0.26
CIRCINUS,14,13,9.3,-,65,20,21,3,-20.65,,0.04,,-0.43,,-0.61,,0.00,,0.00,,0.00
KKH87,14,15,9.4,+,57,5,15,10,-13.24,,-2.72,,-0.13,,0.64,,-2.42,,0.17,,0.34
DDO187,14,15,56.5,+,23,3,19,10,-12.44,,-4.01,,-0.89,,1.20,,-3.02,,0.10,,0.21
KKR08,14,19,14.8,+,3,7,26,-2,-11.67,,0.00,,0.00,,0.00,<,-4.50,<,-1.98,>,1.65
NGC5585,14,19,48.3,+,56,43,49,7,-17.81,,-1.08,,0.03,,0.03,,-0.80,,0.31,,-0.25
DDO190,14,24,43.5,+,44,31,33,9,-14.14,,-2.66,,-0.42,,0.29,,-2.27,,-0.03,,-0.10
PGC051659,14,28,3.7,-,46,18,6,10,-13.13,,-3.59,,-0.96,,1.50,,0.00,,0.00,,0.00
Centaurus A-dE5,14,30,5.0,-,33,28,45,10,-11.67,<,-4.64,<,-1.42,>,0.93,<,-4.26,<,-1.04,>,0.55
ESO222-010,14,35,3.0,-,49,25,18,10,-13.60,,-2.37,,0.08,,0.28,,0.00,,0.00,,0.00
DDO194,14,35,24.6,+,57,15,24,8,-15.06,,-3.07,,-1.31,,1.31,,-2.09,,-0.33,,0.33
MRK0475,14,39,5.4,+,36,48,22,9,-13.46,,-1.58,,0.92,,-1.81,,-2.24,,0.26,,-1.15
ESO272-025,14,43,25.5,-,44,42,19,10,-14.75,,-2.28,,-0.11,,-0.50,,0.00,,0.00,,0.00
ESO223-009,15,1,8.5,-,48,17,33,10,-16.38,,-0.97,,-0.03,,-0.09,,0.00,,0.00,,0.00
UGC09660,15,1,9.3,+,44,41,53,9,-15.09,,-2.10,,-0.32,,0.13,,-1.81,,-0.03,,-0.16
UMin,15,9,11.3,+,67,12,52,-3,-7.13,,0.00,,0.00,,0.00,<,-8.76,<,-4.43,>,3.41
ESO274-001,15,14,13.5,-,46,48,45,7,-17.57,,-1.26,,-0.13,,-0.20,,0.00,,0.00,,0.00
UGC09992,15,41,47.8,+,67,15,15,10,-14.08,,-2.34,,-0.09,,0.49,,-2.02,,0.23,,0.17
KKR25,16,13,47.6,+,54,22,16,-1,-9.39,,-5.11,,-1.68,,0.15,,0.00,,0.00,,0.00
ESO137-018,16,20,59.3,-,60,29,15,6,-18.09,,-1.23,,-0.71,,0.02,,0.00,,0.00,,0.00
Hercules,16,31,2.0,+,12,47,30,-3,-6.10,,0.00,,0.00,,0.00,<,-7.88,<,-3.14,>,0.73
KDG235,17,0,25.3,+,70,17,24,10,-13.48,,-3.39,,-0.90,,1.39,,-2.48,,0.01,,0.48
Draco,17,20,1.4,+,57,54,34,-3,-8.74,,0.00,,0.00,,0.00,<,-8.52,<,-4.83,>,0.84
IC4662,17,47,6.3,-,64,38,25,9,-15.52,,-1.16,,0.29,,-0.51,,-1.41,,0.04,,-0.26
NGC6503,17,49,27.6,+,70,8,41,6,-18.32,,-0.52,,-0.24,,-0.64,,-0.71,,-0.43,,-0.45
IC4710,18,28,38.0,-,66,58,56,8,-17.37,,-0.81,,0.03,,-0.40,,-0.80,,0.04,,-0.41
ESO104-022,18,55,41.2,-,64,48,39,10,-13.86,,-2.02,,0.32,,0.43,,-2.31,,0.03,,0.72
[KK2000] 70,19,6,58.9,-,63,57,57,10,-12.10,,0.00,,0.00,,0.00,,-4.64,,-1.59,,0.00
UGC11411,19,8,42.3,+,70,17,2,9,-13.29,,-2.01,,0.57,,0.00,,-2.13,,0.45,,0.00
[KK2000] 71,19,8,44.0,-,63,43,53,10,-14.69,,0.00,,0.00,,0.00,,-1.63,,0.38,,0.00
NGC6744,19,9,45.9,-,63,51,28,4,-20.96,,0.24,,-0.42,,0.08,,0.42,,-0.24,,-0.10
ESO104-044,19,11,23.1,-,64,13,9,10,-14.80,,-2.75,,-0.78,,1.21,,-2.29,,-0.32,,0.75
[KK2000] 72,19,12,22.9,-,63,51,22,10,-11.87,,0.00,,0.00,,0.00,,-3.09,,0.05,,0.00
NGC6789,19,16,41.8,+,63,58,22,9,-14.34,,-2.59,,-0.42,,-0.79,,-2.58,,-0.41,,-0.80
Sag dIr,19,29,59.0,-,17,40,41,10,-11.49,,-4.07,,-0.45,,1.14,,-3.14,,0.48,,0.21
IC4870,19,37,37.6,-,65,48,43,9,-15.31,,-1.46,,0.47,,0.08,,-1.33,,0.60,,-0.05
NGC6822,19,44,57.7,-,14,48,11,10,-15.24,,-1.94,,-0.15,,0.22,,-1.82,,-0.03,,0.10
KK246,20,3,57.4,-,31,40,54,10,-13.69,,0.00,,0.00,,0.00,,-2.43,,-0.12,,0.63
IC4951,20,9,31.8,-,61,51,2,8,-16.41,,-1.40,,-0.18,,0.28,,-1.13,,0.09,,0.01
UGC11583,20,30,15.3,+,60,26,25,10,-14.31,,-2.72,,-0.56,,1.12,,0.00,,0.00,,0.00
KK251,20,30,32.0,+,60,21,13,10,-13.63,,-2.71,,-0.28,,0.89,,0.00,,0.00,,0.00
KK252,20,31,32.6,+,60,48,48,10,-14.10,,-2.86,,-0.62,,0.03,,0.00,,0.00,,0.00
NGC6946,20,34,51.1,+,60,9,15,6,-20.82,,0.39,,-0.23,,-0.38,,0.28,,-0.34,,-0.27
KKR55,20,45,20.8,+,60,24,40,10,-14.79,,-2.17,,-0.20,,-0.07,,0.00,,0.00,,0.00
DDO210,20,46,51.8,-,12,50,53,10,-11.08,,-5.38,,-1.99,,1.93,,-3.89,,-0.50,,0.44
KKR56,20,48,24.1,+,58,37,6,10,-14.39,,-2.80,,-0.67,,0.57,,0.00,,0.00,,0.00
Cepheus1,20,51,9.7,+,56,53,24,8,-17.59,,-1.76,,-1.01,,0.94,,0.00,,0.00,,0.00
IC5052,20,52,6.2,-,69,12,14,7,-18.07,,-1.04,,-0.25,,0.06,,-0.75,,0.04,,-0.23
KKR59,21,3,24.2,+,57,17,14,8,-17.01,,-1.41,,-0.43,,0.00,,0.00,,0.00,,0.00
KKR60,21,5,53.0,+,57,12,19,10,-15.42,,-1.57,,0.14,,0.00,,0.00,,0.00,,0.00
Segue 3,21,21,31.0,+,19,7,2,-3,-0.60,,0.00,,0.00,,0.00,<,-9.67,<,-2.73,,0.00
NGC7090,21,36,28.6,-,54,33,26,6,-18.59,,-0.62,,-0.21,,-0.29,,-0.67,,-0.26,,-0.24
IC5152,22,2,41.9,-,51,17,43,9,-15.57,,-2.22,,-0.80,,0.37,,-1.55,,-0.13,,-0.30
IC5201,22,20,57.4,-,46,2,3,6,-18.80,,-0.68,,-0.56,,0.04,,-0.35,,-0.23,,-0.29
ESO238-005,22,22,30.1,-,48,24,18,10,-14.84,,-2.30,,-0.35,,0.76,,-2.00,,-0.05,,0.46
AM2220-460,22,23,43.0,-,45,52,56,10,-13.41,,0.00,,0.00,,0.00,,-2.23,,0.29,,-0.19
KK258,22,40,43.9,-,30,47,59,-3,-10.27,,0.00,,0.00,,0.00,,-4.58,,-1.50,,0.36
Tucana,22,41,49.0,-,64,25,12,-1,-9.16,,0.00,,0.00,,0.00,,-6.04,,-2.52,,0.35
PiscesII,22,58,31.0,+,5,57,9,-3,-4.38,,0.00,,0.00,,0.00,,-7.56,,-2.13,,0.00
NGC7462,23,2,47.2,-,40,50,6,6,-18.15,,0.00,,0.00,,0.00,,-0.40,,0.25,,-0.66
ApplesI,23,15,3.3,-,42,32,22,-3,-8.25,,0.00,,0.00,,0.00,<,-4.54,<,-0.66,,0.00
NGC7640,23,22,6.6,+,40,50,44,5,-19.16,,-0.51,,-0.08,,0.15,,0.00,,0.00,,0.00
UGC12588,23,24,42.4,+,41,20,53,8,-16.06,,-1.34,,0.02,,-0.37,,0.00,,0.00,,0.00
UGCA438,23,26,27.5,-,32,23,26,10,-12.86,,-3.85,,-1.29,,1.21,,-2.67,,-0.11,,0.03
Cas dSph,23,26,31.8,+,50,40,32,-3,-11.68,,-6.14,,-3.63,,1.87,<,-5.98,<,-3.47,>,1.71
ESO347-017,23,26,56.1,-,37,20,49,7,-14.78,,-1.77,,0.00,,0.05,,-1.70,,0.07,,-0.02
Pegasus,23,28,34.1,+,14,44,48,10,-11.47,,-4.58,,-1.58,,1.24,,-3.75,,-0.75,,0.41
DDO217,23,29,58.7,+,40,59,25,8,-17.79,,-1.08,,-0.41,,0.22,,-1.01,,-0.34,,0.15
IC5332,23,34,27.5,-,36,6,6,7,-18.59,,-0.52,,0.00,,-0.17,,-0.39,,0.13,,-0.30
NGC7713,23,36,15.0,-,37,56,20,6,-18.38,,-0.64,,0.06,,-0.49,,0.00,,0.00,,0.00
UGC12713,23,38,14.5,+,30,42,33,7,-15.95,,-1.61,,-0.37,,0.16,,-1.57,,-0.33,,0.12
UGCA442,23,43,46.0,-,31,57,33,8,-14.66,,-2.20,,-0.07,,0.53,,-1.86,,0.27,,0.19
KKH98,23,45,34.0,+,38,43,4,10,-10.78,,-3.61,,-0.06,,0.19,,-3.32,,0.23,,-0.10
ESO348-009,23,49,23.4,-,37,46,25,10,-15.55,,-2.06,,-0.40,,0.83,,-1.60,,0.06,,0.37
Peg dSph,23,51,46.4,+,24,35,10,-3,-10.67,,-6.37,,-3.45,,0.71,<,-6.38,<,-3.46,>,0.72
ESO149-003,23,52,2.8,-,52,34,39,10,-13.86,,-2.38,,-0.04,,0.26,,-1.94,,0.40,,-0.18
And XXI,23,54,47.7,+,42,28,15,-3,-9.27,,0.00,,0.00,,0.00,<,-6.24,<,-2.76,,0.00
NGC7793,23,57,49.4,-,32,35,24,6,-18.50,,-0.38,,-0.01,,-0.72,,-0.35,,0.02,,-0.75
And XXIX,23,58,55.6,+,30,45,20,-2,-7.52,,0.00,,0.00,,0.00,<,-6.54,<,-2.36,,0.00
